,,*Liq. y B° en Bruto (antes de retenciones),,,,Fecha,14-07-2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proyectos,Fase,SL,Provincia,Municipio,Tipo Activo,Tipología,Canal,Partner,Formato de inversión,Contrato,Inv. Total. Est.,Invertido,FC Inicial,FC Final,B° Realizado,Est. B°,Fecha inicio,Fecha Fin,Est. Fin0,Retraso,Est. Fin1,% Ejecución,Est. TIR,Est. ROI,Meses,TIR,ROI,Link,Estado,Comentarios
Edificio Bétera 11 viv.,FASE 2,Inmoyield 3,Valencia,Bétera,Edificio,Flipping,Directo,J.Pascual & N.Blat,Deuda,Préstamo a tipo fijo,100.000 €,100.000 €,-100.000 €,,,12.500 €,19/06/2026,,2026-12,"-4,7",2026-12,"15,15%","25,00%","25,00%",6,,,ver,Invertido,Co-inversión en tramo 2
Génova 23,FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.000 €,-250.000 €,,27.525 €,0 €,03/02/2025,,2025-08,"11,6",2028-06,"43,33%","23,16%","11,01%",6,"23,16%","11,01%",,Invertido,
3 C. Siliceo,Descarte,,,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,400.000 €,,,,24.900 €,,,4,"1.540,4",,,"20,00%","6,23%",,,,ver,En Estudio,
4 Campolivar (12 adosados),Descarte,,,Valencia,Vivienda,Obra nueva,Plataforma,SodaCrowd,Deuda,Préstamo Tipo Fijo,,600.000 €,-600.000 €,,,81.000 €,,,12,"1.540,2",,,"13,50%","13,50%",,,,ver,En Estudio,Max. 600K. 40% preventas. G.R hasta abril. 
Edif. Pantoja (Fase II),FASE 2,Inmoyield 3,Toledo,Pantoja,Edificio,NPL,Directo,Sultan,Deuda,Préstamo a tipo fijo,100.000 €,100.000 €,-100.000 €,,,6.250 €,22/06/2026,,2026-09,"-1,6",2026-09,"30,99%","25,00%","6,25%",,,,ver,Invertido,tramo 1: 22.06  /  tramo 2: 14/07
9 Esquivias 18 viv,CACI 02.02,,,Toledo,Edificio,WIP,Directo,Sultan,Equity,Directo,,1.800.000 €,-1.800.000 €,,,553.280 €,,,12,"1.540,2",,,"31,00%","31,00%",,,,,En Estudio,
9.2 Esquivias 7 viv,CACI 02.02,,,Toledo,Edificio,WIP,Directo,Sultan,Equity,Directo,,835.000 €,-835.000 €,,,219.104 €,,,12,"1.540,2",,,"26,00%","26,00%",,,,ver,En Estudio,Aprobado CACI. Pendiente Firma Contrato.
Albal,FASE 1,Inmoyield 1,Valencia,Albal,WIP,WIP,Directo,J.Pascual & N.Blat,Deuda,Préstamo participativo,,700.000 €,-700.000 €,,,175.000 €,25/07/2025,,2026-07,"0,4",2026-10,"81,76%","25,00%","25,00%",11,"42,86%","25,00%",ver,Invertido,"01.06 Oferta vinculante por la compra del activo por 1,55M€. 60 días max. para compeltar DD"
