"17-09-2026","Caja Disponible","548.442 €","718.442 €","","","EIC","-120.000 €","-596.000 €","","","","","","","","",""
"","Estimación FR (pendiente)","0 €","","","","Bafi","-476.000 €","","","","","","","","","",""
"","Liq. Est. 30 días","170.000 €","","","","","","","","","","","","","","",""
"","pagos hasta Agosto","-874.021€","","pagos hasta Septiembre","-1.482.738€","pagos hasta Octubre","","-1.674.752€","pagos hasta Noviembre","","-1.674.752€","pagos hasta Diciembre","","-1.674.752€","pagos hasta Enero","","-1.674.752€"
"","M de Maniobra","-155.579 €","","M de Maniobra","-764.296 €","M de Maniobra","","-956.310 €","M de Maniobra","","-956.310 €","","","","","",""
"","Septiembre","-874.021€","","Octubre","-608.717€","","Noviembre","-192.014€","","Diciembre","0€","","Enero","0€","","Febrero","0€"
"","Devolución Nacho ?","-475.000 €","","Carlet oct","-65.017 €","","Carlet nov","-52.014 €","","","","","","","","",""
"","Esquivias","-31.000 €","","Teruel CV 45%","-540.000 €","","","","","","","","","","","",""
"","Teruel","-60.000 €","","Esquivias","-3.700 €","","Esquivias","-140.000 €","","","","","","","","",""
"","Carlet","-78.021 €","","","","","","","","","","","","","","",""
"","Favara","-230.000 €","","","","","","","","","","","","","","",""
